Ward,Sub,Building Name,Building Address,Total Electors,Additions to the Voters List,Deletions to the Voters List,Corrections to the Voters List,School Board - Public,School Board - Catholic,School Board - French Public,School Board - French Catholic,School Board - Non-Resident,Total Eligible Electors,Number Voted,% Voted,Rejected Ballots,Declined Ballots
4,7,Runnymede Healthcare Centre,625 Runnymede Road,0,49,0,0,27,22,0,0,0,49,49,100%,0,0
4,8,Annette Community Recreation Centre,333 Annette Street,2644,136,27,134,2146,578,23,15,5,2767,1108,40%,3,3
4,9,St. John's Church,288 Humberside Avenue,1940,94,27,20,1721,251,23,18,0,2013,779,39%,1,0
4,10,Annette Street Library,145 Annette Street,1795,122,16,146,1491,374,17,12,21,1915,625,33%,0,3
4,11,Heintzman Place,60 Heintzman Street,796,64,11,13,744,87,11,7,1,850,482,57%,0,0
4,12,Keele Street Christian Church,97 Annette Street,1616,135,30,6,1494,196,22,6,12,1730,654,38%,0,1
4,13,Lucy McCormick Sr Public School,2717 Dundas Street West,1035,78,13,16,983,98,4,2,16,1103,426,39%,1,0
4,14,Indian Road Crescent Public School,285 Indian Road Crescent,2086,117,24,27,1866,289,25,12,1,2193,961,44%,1,0
4,15,The Crossways Mall,2340 Dundas Street West,881,20,11,25,815,65,5,3,1,889,265,30%,4,1
4,16,Lithuanian House,1573 Bloor Street West,1752,155,24,37,1571,255,24,5,38,1893,696,37%,0,0
4,17,St. Joan of Arc Church,1701 Bloor St. West,1593,130,24,11,1368,287,23,8,25,1711,691,40%,0,0
4,18,Vilnius Manor,1700 Bloor Street West,1715,146,34,19,1578,220,18,3,15,1834,749,41%,3,0
4,19,Keele Community Centre,181 Glenlake Avenue,1212,80,25,20,1075,168,22,7,0,1272,451,35%,0,0
4,20,60 Mountview Avenue,60 Mountview Avenue,264,19,3,4,250,30,0,1,0,281,122,44%,0,1
4,21,55 Oakmount Road,55 Oakmount Road,261,20,2,6,248,31,0,1,0,280,119,43%,2,1
4,22,45 Oakmount Road,45 Oakmount Road,269,22,3,5,244,43,1,0,0,288,113,39%,0,0
4,23,High Park Residences,1830 Bloor St W,379,23,6,10,381,17,2,1,0,401,206,51%,0,0
4,24,22 Oakmount Road,22 Oakmount Road,244,28,3,7,228,33,7,0,1,269,125,46%,0,0
4,25,255 Glenlake Avenue,255 Glenlake Avenue,384,56,4,6,403,32,1,3,0,439,200,46%,0,0
4,26,111 Pacific Avenue,111 Pacific Avenue,249,60,3,5,284,17,3,2,0,306,160,53%,1,1
4,27,Park Place,299 Glenlake Avenue,280,26,2,6,280,20,3,2,0,305,146,48%,0,0
4,28,66 Pacific Avenue,66 Pacific Avenue,244,36,7,1,242,26,3,0,0,271,126,46%,0,0
4,29,35 High Park Avenue,35 High Park Avenue,258,29,10,3,258,16,2,1,0,277,137,49%,0,0
4,30,Parkside Apartments,65 High Park Avenue,352,72,6,5,388,26,4,0,0,418,183,44%,0,0
4,31,95 High Park Avenue,95 High Park Avenue,256,29,9,0,256,19,2,0,0,277,117,42%,0,0
4,32,40 High Park Avenue,40 High Park Avenue,367,33,5,2,345,45,3,3,0,396,177,45%,0,0
4,33,100 High Park Avenue,100 High Park Avenue,407,13,4,27,359,54,3,0,0,416,124,30%,3,0
4,34,Grenadier Square High Park,77 Quebec Avenue,367,33,10,2,339,49,1,2,0,391,171,44%,3,0
4,35,High Park Green,100 Quebec Avenue,552,23,6,3,479,83,5,4,0,571,332,58%,0,0
4,36,High Park Green,50 Quebec Avenue,1068,66,15,15,988,123,10,3,2,1126,518,46%,2,0
4,37,The Grenadier Retirement Residence,2100 Bloor Street West,1015,88,8,8,891,169,13,18,7,1098,466,43%,0,1
4,38,Runnymede United Church,432 Runnymede Road,2408,69,26,25,2050,360,14,9,23,2456,1089,44%,3,1
4,39,St. Pius X Catholic School,71 Jane Street,3094,92,27,49,2488,611,12,35,15,3161,1381,44%,1,0
4,40,Swansea Town Hall,95 Lavinia Avenue,2520,57,26,38,2013,446,25,16,52,2552,1121,44%,2,1
4,41,Morningside High Park Church,4 Morningside Avenue,1751,45,23,27,1500,223,23,20,10,1776,789,44%,0,0
4,42,Swansea Jr.Sr. Public School,207 Windermere Avenue,2754,72,20,67,2234,523,21,31,3,2812,1005,36%,3,0
4,43,35 Ormskirk Ave,35 Ormskirk Ave,297,17,2,2,249,59,4,0,0,312,180,58%,0,0
4,44,The Southport,60 Southport Street,374,18,3,1,298,83,5,1,2,389,206,53%,0,0
4,45,Grenadier Gardens,45 Southport Street,536,17,1,3,422,126,2,3,0,553,261,47%,1,0
4,46,South Kingsway Village Rec Ctr,20 Southport Street,598,8,3,2,496,100,5,1,0,602,288,48%,1,0
4,47,Southampton,1 Ripley Avenue,183,8,1,0,160,28,2,2,0,192,126,66%,0,0
4,48,NXT at Windermere by the Lake,103 The Queensway,1156,36,12,1,1101,73,3,3,0,1180,326,28%,0,1
4,49,Windermere By The Lake,15 Windermere Ave,474,27,0,5,454,43,3,1,0,501,221,44%,0,0
4,50,Park Lake Residences,1900 Lake Shore Blvd West,284,43,4,6,290,30,1,4,0,325,142,44%,2,0
4,51,Howard Public School Jr.,30 Marmaduke Street,2431,179,40,27,2067,418,62,12,19,2578,1167,45%,0,1
4,52,St. Vincent de Paul Catholic Church,263 Roncesvalles Ave,2303,144,20,15,2038,356,22,8,11,2435,1093,45%,1,0
4,53,St. Vincent de Paul Catholic School,116 Fermanagh Avenue,2003,134,19,18,1747,309,47,13,11,2127,978,46%,0,0
4,54,High Park Public Library,228 Roncesvalles Avenue,1006,49,8,8,868,134,26,2,21,1051,425,40%,0,0
4,55,Garden Avenue Public School,225 Garden Avenue,2230,125,44,27,1941,318,40,7,5,2311,1027,44%,6,0
4,56,Copernicus Lodge,66 Roncesvalles Avenue,168,11,0,2,121,58,0,0,0,179,132,74%,0,0
4,57,Parkdale Activity Recreation Centre,1497-1499 Queen Street West,1202,95,20,15,1103,154,16,3,16,1292,418,32%,0,0
4,58,Parkdale Jr. & Sr. Public School,75 Lansdowne Avenue,2244,81,16,26,2047,244,15,7,0,2313,757,33%,0,0
4,59,May Robinson Apartments,20 West Lodge Avenue,1649,193,21,18,1554,223,26,6,32,1841,622,34%,2,0
4,60,Parkdale Collegiate Institute,209 Jameson Avenue,1955,159,29,28,1821,255,21,5,2,2104,649,31%,5,1
4,61,White Eagle Residence,138 Dowling Avenue,56,16,0,0,43,29,0,0,0,72,18,26%,0,1
4,62,Springhurst Manor,1447 King Street West,753,42,6,15,719,76,3,1,0,799,255,32%,1,2
4,63,Holy Family Catholic School,141 Close Avenue,1663,74,19,27,1372,339,10,2,3,1726,426,25%,1,0
4,64,245 Dunn Avenue,245 Dunn Avenue,383,17,1,6,335,64,0,1,0,400,155,39%,1,1
4,65,Masaryk-Cowan Community Centre,220 Cowan Avenue,1457,99,25,18,1316,212,13,2,9,1552,479,31%,0,0
4,66,Elm Grove Living Centre,35 Elm Grove Avenue,57,19,2,0,62,12,0,0,0,74,26,35%,0,0
4,67,Parkdale United Church,1355 King St. West,2596,171,42,34,2472,252,13,8,2,2747,740,27%,0,0
4,68,Queen Victoria Public School,100 Close Avenue,2065,73,19,12,1862,251,10,1,2,2126,564,27%,1,0
4,69,Toronto Rehabilitation Institute,130 Dunn Avenue,111,18,0,0,119,8,0,1,0,128,28,23%,0,2
4,70,Lakeside Long Term Care Centre,150 Dunn Ave,0,34,0,0,34,0,0,0,0,34,34,100%,0,0
4,71,85 Spencer Avenue,85 Spencer Avenue,680,13,7,3,588,99,1,1,0,689,190,28%,0,0
4,72,Norwood Nursing Home,122 Tyndall Avenue,38,6,0,0,33,10,0,1,0,44,12,27%,0,0
4,73,102 Tyndall Avenue,102 Tyndall Avenue,782,17,8,10,622,163,7,0,0,792,241,30%,0,0
4,97,Toronto City Hall - Vote Anywhere,100 Queen Street West,,47,15,23,,,,,,,402,,0,0
4,98,Annette Community Centre,333 Annette Street,,201,51,104,,,,,,,3963,,0,5
4,99,Masaryk-Cowan Community Centre,220 Cowan Avenue,,180,46,82,,,,,,,1708,,3,0
4 Total,,,,80037,4953,1071,1628,69833,12411,834,410,431,83919,39051,47%,75,28
5,1,Country Club Towers A,2460 Weston Road,401,28,5,2,391,39,1,0,0,431,124,29%,1,0
5,2,Pelmo Park Community Centre,171 Pellatt Avenue,1533,22,8,20,787,751,1,0,11,1550,619,40%,1,0
5,3,Pelmo Park Public School,180 Gary Drive,2009,32,9,19,1084,939,7,3,0,2033,859,42%,1,2
5,4,Falstaff Community Centre,50 Falstaff  Avenue,1909,90,14,18,1040,986,0,1,0,2027,630,31%,0,1
5,5,Casa Abruzzo,338 Falstaff Avenue,191,10,3,1,151,48,0,0,0,199,116,58%,3,0
5,6,St. Fidelis Catholic School,9 Bannerman Street,2099,42,11,23,712,1423,3,2,1,2141,744,35%,5,0
5,7,North Park Nursing Home,450 Rustic Road,52,9,2,0,51,8,0,0,0,59,12,24%,0,2
5,8,Ecole Elementaire Mathieu da Costa,116 Cornelius Parkway,1606,15,13,4,607,975,7,18,2,1609,562,35%,2,0
5,9,St. Francis Xavier Catholic School,53 Gracefield Avenue,1608,23,10,17,653,965,0,3,1,1622,494,30%,0,0
5,10,Amesbury Middle School,201 Gracefield Avenue,1252,18,4,6,666,596,4,2,0,1268,392,31%,0,0
5,11,Chaminade College Catholic School,490 Queen's Drive,1374,13,6,11,591,786,0,2,3,1382,481,35%,5,0
5,12,Upwood Park Co-op,300 Queens Drive,516,31,0,6,402,143,5,0,0,550,137,25%,0,0
5,13,Weston Gardens Retirement Living,303 Queens Drive,61,53,2,0,85,26,0,1,0,112,58,53%,0,1
5,14,Maple Leaf Drive Seniors,10 Maple Leaf Drive,164,11,1,2,161,12,1,0,0,174,77,44%,0,0
5,15,Weston Memorial Jr. Public School,200 John Street,1503,31,21,14,1108,388,10,3,5,1514,688,46%,1,1
5,16,Humberview Co-op,2100 Weston Road,227,24,3,6,235,15,0,0,0,250,102,41%,2,0
5,17,H. J. Alexander Community School,30 King Street,1829,27,12,11,1433,382,6,2,24,1847,494,27%,0,1
5,18,Weston Library,2 King Street,1554,29,7,9,1360,203,3,6,16,1588,375,24%,0,0
5,19,Central King Seniors Residence,15 King Street,129,8,4,6,116,17,0,0,0,133,78,59%,0,0
5,20,Eagle Manor,1901 Weston Road,312,21,4,0,324,6,2,2,0,334,130,39%,0,0
5,21,5 Bellevue Crescent,5 Bellevue Crescent,375,8,4,4,340,41,1,0,0,382,122,32%,0,0
5,22,River Ridge,1 Hickory Tree Road,514,16,1,7,409,120,0,2,0,531,225,43%,0,1
5,23,C.R. Marchant Middle School,1 Ralph Street,3033,90,18,34,2353,723,5,4,50,3135,842,27%,4,0
5,24,Weston Terrace Care Community,2005 Lawrence Avenue West,131,15,0,1,81,65,0,0,0,146,21,14%,4,0
5,25,Portage Trail CJS/CMS,100 Sidney Belsey Crescent,2124,46,8,9,1595,556,5,3,11,2170,592,27%,2,1
5,26,Harding Square,5 Harding Avenue,156,4,0,2,140,22,0,0,0,162,41,25%,0,0
5,27,St. Bernard Catholic School,12 Duckworth Street,2722,48,17,22,1736,1021,3,4,2,2766,539,19%,2,0
5,28,Brookhaven Public School,70 Brookhaven Drive,2472,20,7,21,1615,857,1,7,8,2488,643,26%,0,0
5,29,Lawrence Park,1577 Lawrence Avenue West,491,13,5,3,379,121,0,1,0,501,112,22%,1,0
5,30,Amesbury Community Centre,1507 Lawrence Avenue West,1901,32,9,12,1362,572,2,2,1,1939,395,20%,0,0
5,31,George Anderson Public School,30 George Anderson Drive,1598,16,8,5,727,847,0,7,25,1606,544,34%,9,0
5,32,Willow Glen,25 Martha Eaton Way,437,23,6,7,330,127,0,0,0,457,133,29%,0,0
5,33,Maple Creek,10 Martha Eaton Way,550,45,1,0,454,138,1,1,0,594,217,37%,0,0
5,34,Amesbury Heights,15 Martha Eaton Way,366,20,0,1,300,80,1,2,0,383,92,24%,0,0
5,35,Greenborough Community Church,2000 Keele Street,1613,16,10,19,938,681,1,2,0,1622,465,29%,2,0
5,36,Harold & Grace Baker Centre,1 Northwestern Avenue,0,39,0,0,39,0,0,0,0,39,39,100%,0,0
5,37,Vila Gaspar,33 Gabian Way,413,18,0,5,297,134,0,0,1,432,134,31%,3,0
5,38,Plaut Manor,2480 Eglinton Avenue West,620,32,11,6,490,140,1,1,12,644,181,28%,0,0
5,39,Charles E. Webster Public School,1900 Keele Street,1401,59,6,21,852,592,7,3,2,1456,399,28%,1,2
5,40,Centennial Recreation Centre West,2694 Eglinton Avenue West,1710,37,8,20,1256,457,4,2,22,1741,351,20%,2,0
5,41,Silverthorn Community School,300 Kane Avenue,4110,64,18,13,2311,1815,8,3,23,4160,1227,29%,8,0
5,42,York Recreation Centre,115 Black Creek Drive,1628,27,12,9,1062,557,8,3,15,1645,301,18%,2,0
5,43,Mt. Dennis Public Library,1123 Weston Road,1108,19,0,10,717,391,2,0,19,1129,300,27%,0,0
5,45,Bala Avenue Community School,6 Bala Avenue,2089,41,12,5,1570,522,7,5,18,2122,588,28%,0,0
5,46,Our Lady of Victory Residence,200 Dora Spencer Road,160,2,0,2,143,20,0,0,0,163,65,40%,1,0
5,47,West Park Healthcare Centre,82 Buttonwood Avenue,277,29,23,2,263,20,0,0,0,283,44,16%,0,0
5,48,West Park Long Term Care Centre,82 Buttonwood Avenue,0,53,0,0,42,11,0,0,0,53,53,100%,0,0
5,49,Emmett House,85 Emmett Avenue,449,12,3,7,310,145,4,0,0,459,196,43%,0,0
5,50,York Humber High School,100 Emmett Avenue,2144,45,10,13,1754,421,3,4,0,2182,509,23%,0,0
5,51,The Winston House,75 Emmett Avenue,665,1,2,1,540,123,2,1,1,667,291,44%,0,0
5,52,Lambton Square,270 Scarlett Road,365,11,2,4,272,100,1,1,0,374,206,55%,0,0
5,53,Lambton Square,260 Scarlett Road,336,15,2,5,259,88,1,0,0,348,206,59%,0,0
5,54,Lambton Square,240 Scarlett Road,336,21,1,2,271,84,0,1,0,356,218,61%,0,0
5,55,Lambton Square,250 Scarlett Road,345,18,3,4,261,95,3,1,0,360,227,63%,0,0
5,56,Roselands Junior Public School,990 Jane Street,1873,26,19,22,1283,575,7,9,7,1881,625,33%,0,0
5,57,Outlook Manor,55 Outlook Avenue,232,19,4,0,227,20,0,0,1,248,110,44%,0,0
5,58,Lambton Park Community School,50 Bernice Crescent,2427,44,12,27,1715,720,7,17,2,2461,870,35%,10,0
5,59,George Syme Community School,69 Pritchard Avenue,808,11,3,6,594,223,1,0,1,819,260,32%,0,0
5,60,David Appleton Community Centre,33 Pritchard Avenue,1481,38,11,30,1026,449,13,9,10,1507,568,38%,0,0
5,61,George Bell Arena,215 Ryding Avenue,1312,46,9,6,914,409,7,1,22,1353,423,31%,1,0
5,62,Rockcliffe Middle School,400 Rockcliffe Blvd.,1975,54,10,11,1608,386,5,5,23,2027,493,24%,0,0
5,63,Frank Oke Secondary School,500 Alliance Avenue,1640,23,6,16,1070,573,7,9,1,1660,504,30%,0,0
5,64,Our Lady of Victory Catholic School,70 Guestville Avenue,1757,24,14,35,1164,589,5,4,7,1769,532,30%,0,0
5,65,Mount Dennis Apartments,101 Humber Blvd.,194,8,1,1,191,10,0,0,0,201,70,35%,1,1
5,66,Santa Maria Catholic School,25 Avon Avenue,2551,42,11,83,1679,875,16,2,20,2592,632,24%,5,0
5,67,Silverthorn Place,600 Rogers Road,203,13,0,2,201,15,0,0,0,216,116,54%,0,0
5,68,Villa Bello Horizonte,1500 Keele Street,213,6,1,3,164,54,0,1,0,219,54,25%,102,0
5,97,Toronto City Hall - Vote Anywhere,100 Queen Street West,,11,6,9,,,,,,,152,,2,0
5,98,Amesbury Community Centre,1507 Lawrence Ave West,,162,25,116,,,,,,,2150,,0,0
5,99,York Recreation Centre,115 Black Creek Drive,,112,16,70,,,,,,,1553,,1,1
5 Total,,,,73634,2131,494,888,49261,25292,189,162,367,75271,26802,36%,184,14
6,1,West Don Apartments,6250 Bathurst Street,1451,49,5,6,1404,86,5,0,1,1496,436,29%,1,0
6,2,Bathurst Towers,6200 Bathurst Street,171,8,1,2,157,19,2,0,0,178,66,38%,0,1
6,3,Primrose,1121 Steeles Avenue West,906,36,4,7,892,43,4,1,0,940,369,39%,5,0
6,4,Garden View Terrace,1875 Steeles Avenue West,169,15,1,0,140,39,3,0,0,182,66,36%,0,0
6,5,Rockford Public School,60 Rockford Road,2677,33,9,108,2449,244,4,0,4,2701,741,27%,2,0
6,6,Valencia Towers,6030 Bathurst Street,232,35,1,0,233,35,0,0,0,268,103,38%,1,0
6,7,Antibes Community Centre,140 Antibes Drive,3207,93,18,20,2909,361,12,2,1,3285,747,23%,0,0
6,8,Antibes Court,100 Antibes Drive,303,18,2,3,295,19,2,5,0,321,142,44%,0,0
6,9,80 Antibes Drive,80 Antibes Drive,308,11,6,1,292,18,2,1,0,313,156,50%,0,0
6,10,115 Antibes Drive,115 Antibes Drive,358,18,0,4,360,16,1,0,0,377,145,38%,0,0
6,11,The Hemispheres I,133 Torresdale Avenue,274,16,0,1,273,17,0,0,0,290,149,51%,0,0
6,12,Hemisphere II,131 Torresdale Avenue,248,12,2,1,254,3,0,1,0,258,136,53%,0,0
6,13,Northview Heights Secondary School,550 Finch Avenue West,2486,52,10,72,2116,405,8,2,0,2531,636,25%,0,0
6,14,Valleyview Residence,541 Finch Avenue West,0,17,0,0,17,0,0,0,0,17,17,100%,0,0
6,15,Herbert H. Carnegie Centennial Centre,580 Finch Avenue West,1630,28,8,7,1307,238,10,1,96,1652,398,24%,1,0
6,16,The Savoy,10 Torresdale Avenue,299,7,2,2,284,21,0,0,0,305,156,51%,0,0
6,17,Somerset Apartments,605 Finch Avenue West,314,30,5,1,315,23,0,1,0,339,102,30%,0,0
6,18,Charles H. Best Middle School,285 Wilmington Avenue,956,11,4,5,839,123,2,0,2,966,347,36%,4,0
6,19,Wilmington Elementary School,330 Wilmington Avenue,1058,34,5,6,919,167,1,0,0,1087,355,33%,0,0
6,20,Revivaltime Tabernacle,4340 Dufferin Street,1839,25,7,16,1319,438,10,4,87,1858,498,27%,2,0
6,21,Irving W. Chapley Community Centre,205 Wilmington Avenue,1235,26,4,8,1017,237,6,2,0,1262,460,36%,2,0
6,22,William Lyon MacKenzie Collegiate,20 Tillplain Road,1610,25,6,12,1153,471,7,3,0,1634,556,34%,1,0
6,23,Metro Place Condos,1070  Sheppard Avenue West,952,72,8,4,940,74,3,1,0,1018,298,29%,0,0
6,24,Kensington Place Retirement Res.,866 Sheppard Avenue West,19,49,0,0,67,0,0,0,1,68,54,79%,0,0
6,25,Darchei Noam,864 Sheppard Avenue West,1992,32,14,14,1511,483,4,7,11,2016,597,30%,0,0
6,26,B'nai Brith Canada,15 Hove Street,1700,27,15,96,1361,312,10,3,28,1714,604,35%,2,2
6,27,Sheppard Place,4455 Bathurst Street,1427,69,11,15,1340,139,2,2,7,1490,447,30%,0,1
6,28,Earl Bales Community Centre,4169 Bathurst Street,893,22,7,8,790,112,4,2,0,908,234,26%,0,0
6,29,B'Nai Brith Seniors Building,4300 Bathurst Street,147,37,1,3,182,1,0,0,0,183,112,62%,1,1
6,30,B'nai Brith Upper Canada Lodge,4266 Bathurst Street,124,24,1,1,146,1,0,0,0,147,93,64%,0,1
6,31,St. Robert Catholic School,70 Bainbridge Avenue,1864,31,20,21,1553,290,9,4,19,1875,636,34%,0,0
6,32,Dublin Heights Public School,100 Bainbridge Avenue,1581,22,6,5,1263,328,5,2,0,1598,611,38%,3,0
6,33,Faywood Arts-Based School,95 Faywood Blvd.,4168,68,14,10,3280,914,5,10,18,4227,1438,34%,1,1
6,34,Summit Heights Public School,139 Armour Blvd.,2339,25,14,21,2172,171,3,0,13,2359,1016,43%,0,0
6,36,Gramercy Park,525 Wilson Avenue,559,33,1,8,505,81,0,2,1,589,248,42%,0,0
6,37,The Station,555 Wilson Ave,286,34,1,2,307,12,0,0,0,319,122,38%,3,0
6,38,Ancaster Community Centre,41 Ancaster Road,1715,33,7,4,644,1059,6,4,31,1744,577,33%,8,0
6,39,Aptus Treatment Centre,111 Anthony Road,1630,35,12,23,833,803,0,5,12,1653,494,30%,0,0
6,40,Downsview Public School,2829 Keele Street,1980,82,17,17,1348,651,3,11,36,2049,560,27%,0,0
6,41,Blaydon Public School,25 Blaydon Avenue,1916,22,11,17,1048,855,4,21,0,1928,660,34%,2,0
6,42,St. Raphael Catholic School,3 Gade Drive,2833,53,14,21,1547,1301,6,7,12,2873,851,30%,0,0
6,43,Roding Community Centre,600 Roding Street,1105,25,5,1,389,728,2,6,0,1125,458,41%,0,0
6,44,Highview Public School,22 Highview Avenue,2057,17,5,8,1359,704,2,1,7,2073,554,27%,0,0
6,45,Downsview Acres,2195 Jane Street,255,6,2,1,241,17,0,2,0,260,107,41%,0,0
6,46,Tumpane Public School,48 Tumpane Street,1651,25,6,14,844,812,2,12,0,1670,591,35%,2,0
6,47,Havenbrook Apartments,190 Exbury Rd,1037,49,2,11,790,291,3,0,1,1085,256,24%,0,0
6,48,Beverley Heights Middle School,26 Troutbrooke Drive,1070,10,2,4,486,582,0,10,0,1078,468,43%,1,0
6,49,Fairway Downs,2645 Jane Street,353,28,2,4,218,157,0,4,0,379,172,45%,0,0
6,50,Calico Public School,35 Calico Drive,1669,23,4,12,913,764,3,5,4,1689,550,33%,2,0
6,51,St. Martha Catholic School,1865 Sheppard Avenue West,959,9,13,6,473,480,1,1,0,955,379,40%,6,0
6,52,Stilecroft Public School,50 Stilecroft Drive,1405,13,2,10,755,652,2,8,0,1417,471,33%,7,0
6,53,Sheppard Public School,1430 Sheppard Avenue West,2283,26,9,7,1653,632,4,1,8,2298,582,25%,0,0
6,54,DeHaviland Court,3390 Keele Street,301,23,2,3,238,83,0,0,0,321,138,43%,1,0
6,55,St. Jerome Catholic School,111 Sharpecroft Blvd.,1298,8,5,5,680,616,1,5,0,1302,415,32%,0,0
6,56,Downsview Long Term Care,3595 Keele Street,59,30,0,0,60,29,0,0,0,89,35,39%,0,0
6,97,Toronto City Hall - Vote Anywhere,100 Queen Street West,,17,5,6,,,,,,,192,,0,0
6,98,Ancaster Community Centre,41 Ancaster Road,,33,14,43,,,,,,,1151,,1,1
6,99,Herbert H. Carnegie Centennial Centre,580 Finch Ave West,,60,18,30,,,,,,,1810,,5,1
6 Total,,,,65358,1771,370,737,48880,17157,163,159,400,66759,24762,37%,64,9
7,1,Venerable John Merlini School,123 Whitfield Avenue,1953,49,5,21,765,1220,6,6,0,1997,892,45%,0,0
7,2,Humber Summit Library,2990 Islington Avenue,1101,16,4,7,457,621,4,12,19,1113,407,37%,8,0
7,3,St. Roch Catholic School,174 Duncanwoods Drive,1331,18,6,12,758,569,0,6,8,1341,479,36%,8,0
7,4,Humber Summit Middle School,60 Pearldale Avenue,2233,49,9,12,1606,655,0,7,7,2275,736,32%,0,0
7,5,Gracedale Public School,186 Gracedale Blvd.,1606,34,9,10,938,641,4,3,52,1638,549,34%,10,0
7,6,Blacksmith Public School,45 Blacksmith Crescent,1507,50,8,5,987,561,2,4,0,1554,449,29%,5,0
7,7,Antica Towers,5000 Jane Street,799,21,3,7,577,241,1,0,0,819,230,28%,0,0
7,8,Shoreham Public School,31 Shoreham Drive,702,17,1,10,637,85,0,4,0,726,187,26%,0,0
7,9,John Booth Memorial Arena,230 Gosford Boulevard,1408,15,2,10,810,613,0,2,5,1430,405,28%,1,0
7,10,Driftwood Community Centre,4401 Jane Street,791,30,5,7,682,131,5,8,0,826,203,25%,1,0
7,11,Edgeley Apartments,35 Shoreham Drive,307,8,2,6,301,14,1,0,0,316,131,41%,1,0
7,12,Forest Valley,345 Driftwood Avenue,477,11,1,2,396,91,0,0,0,487,109,22%,0,0
7,13,York University - New Student Centre,4700 Keele Street,1556,58,15,9,1354,225,11,8,6,1604,170,11%,0,0
7,14,Gosford Public School,30 Gosford Boulevard,1706,40,3,16,1296,432,2,2,26,1758,550,31%,11,0
7,15,Norfinch Care Community,22 Norfinch Drive,48,17,30,0,20,15,0,0,0,35,24,69%,0,0
7,16,Recreation Centre,15 San Romano Way,1230,19,7,15,940,296,5,0,0,1241,300,24%,1,0
7,17,Driftwood Public School,265 Driftwood Avenue,2466,32,12,20,1773,714,4,0,0,2491,638,26%,1,0
7,19,Bristol House,10 Tobermory Drive,301,9,0,2,231,82,0,2,0,315,122,39%,0,0
7,20,Yorkwoods Apartments,500 Murray Ross Parkway,385,31,3,5,356,55,3,0,0,414,117,28%,0,0
7,21,York Condominium Corporation 112,455 Sentinel Road,290,22,1,3,226,85,0,0,0,311,164,53%,0,0
7,22,York Condominium Corporation 128,19 Four Winds Drive,277,9,3,6,192,89,0,2,0,283,126,45%,0,0
7,23,York Condominium Corporation 128,9 Four Winds Drive,243,23,1,5,192,71,0,1,1,265,124,47%,0,0
7,24,York Condominium Corporation 128,1 Four Winds Drive,281,11,2,3,225,65,0,0,0,290,116,40%,0,0
7,25,James Cardinal McGuigan School,1440 Finch Avenue West,1531,39,24,2,1312,230,8,3,3,1556,352,23%,1,0
7,26,Four Winds,31 Four Winds Drive,671,35,1,20,527,171,4,4,0,706,256,36%,0,0
7,27,Alban Park North,11 Catford Road,312,0,5,0,253,54,1,0,0,308,108,35%,3,0
7,28,Derrydown Public School,120 Derrydown Road,1293,20,3,6,740,566,1,3,0,1310,544,42%,0,0
7,29,Northwood Apartments,3680 Keele Street,204,8,1,0,196,16,0,0,0,212,82,39%,0,0
7,30,Elia Middle School,215 Sentinel Road,1748,18,4,14,1255,501,4,2,0,1762,497,28%,0,0
7,31,C.W. Jefferys Collegiate Institute,340 Sentinel Road,1954,47,10,18,1445,539,2,7,0,1993,412,21%,0,0
7,32,Lamberton Public School,33 Lamberton Blvd.,1396,26,3,30,774,643,1,2,0,1420,571,40%,0,0
7,33,Topcliff Public School,65 Topcliff Avenue,1323,24,3,6,1021,322,1,0,5,1349,401,30%,0,1
7,35,Yorkwoods Public School,25 Yorkwoods Gate,2086,41,5,24,1649,451,6,11,10,2127,549,26%,0,0
7,36,2801 Jane Street,2801 Jane Street,316,6,3,5,258,58,1,2,0,319,71,23%,1,1
7,37,South Gate Towers,2775 Jane Street,204,6,0,3,161,48,0,0,0,209,73,35%,0,0
7,38,Oakdale Park Middle School,315 Grandravine Drive,774,12,2,0,527,254,0,0,2,783,138,18%,0,0
7,39,St. Francis De Sales School,333 Firgrove Crescent,1066,7,7,2,770,283,2,0,12,1067,265,25%,1,0
7,40,Hawthorne Place Care Centre,2045 Finch Avenue West,99,19,0,0,112,5,1,0,0,118,30,25%,0,0
7,41,Firgrove Public School,270 Firgrove Crescent,1687,45,7,18,1238,465,2,1,24,1730,474,27%,0,0
7,42,Lori Gardens,2405 Finch Avenue West,335,13,0,5,278,69,0,0,0,347,107,31%,0,0
7,43,Weston Towers,3400 Weston Road,334,9,3,3,268,72,0,0,0,340,116,34%,0,0
7,44,Century Gardens,3390 Weston Road,334,20,1,2,285,70,0,0,0,355,139,39%,0,0
7,45,Daystrom Public School,25 Daystrom Drive,2524,52,8,13,1810,726,4,15,15,2570,763,30%,13,0
7,46,Nile Academy,5 Blue Haven Crescent,1772,40,5,6,1324,479,5,1,0,1809,622,34%,7,0
7,47,Gulfstream Public School,20 Gulfstream Road,1449,25,3,47,847,612,2,9,2,1472,482,33%,0,0
7,48,St. Jude Catholic School,3251 Weston Road,1811,59,5,5,941,797,1,5,128,1872,601,32%,3,0
7,49,Stanley Public School,75 Stanley Road,1987,38,5,160,1335,672,3,1,11,2022,444,22%,0,4
7,50,Domenico DiLuca Community Centre,25 Stanley Road,1898,22,5,18,959,927,0,18,12,1916,590,31%,8,0
7,51,St. Jane Frances Catholic School,2745 Jane Street,976,18,4,61,454,526,0,4,6,990,298,30%,3,0
